geo_id,geography_name,borough,total_renter_households,rent_burdened_households,severely_rent_burdened_households,rent_burden_rate,severe_rent_burden_rate
1400000US36005011000,Census Tract 110; Bronx County; New York,Bronx,0,0,0,,
1400000US36005001903,Census Tract 19.03; Bronx County; New York,Bronx,0,0,0,,
1400000US36005050400,Census Tract 504; Bronx County; New York,Bronx,0,0,0,,
1400000US36005051602,Census Tract 516.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005043503,Census Tract 435.03; Bronx County; New York,Bronx,0,0,0,,
1400000US36005011702,Census Tract 117.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005017100,Census Tract 171; Bronx County; New York,Bronx,0,0,0,,
1400000US36005001904,Census Tract 19.04; Bronx County; New York,Bronx,0,0,0,,
1400000US36005048402,Census Tract 484.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005043502,Census Tract 435.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005016300,Census Tract 163; Bronx County; New York,Bronx,0,0,0,,
1400000US36005009302,Census Tract 93.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005000100,Census Tract 1; Bronx County; New York,Bronx,0,0,0,,
1400000US36005024900,Census Tract 249; Bronx County; New York,Bronx,0,0,0,,
1400000US36005002400,Census Tract 24; Bronx County; New York,Bronx,0,0,0,,
1400000US36005006302,Census Tract 63.02; Bronx County; New York,Bronx,0,0,0,,
1400000US36005028400,Census Tract 284; Bronx County; New York,Bronx,0,0,0,,
1400000US36005033400,Census Tract 334; Bronx County; New York,Bronx,8,8,0,100.0,0.0
1400000US36005045600,Census Tract 456; Bronx County; New York,Bronx,401,127,0,31.7,0.0
1400000US36005027600,Census Tract 276; Bronx County; New York,Bronx,11,3,0,27.3,0.0
1400000US36005045102,Census Tract 451.02; Bronx County; New York,Bronx,358,158,15,44.1,4.2
1400000US36005031400,Census Tract 314; Bronx County; New York,Bronx,207,71,12,34.3,5.8
1400000US36005003700,Census Tract 37; Bronx County; New York,Bronx,149,17,9,11.4,6.0
1400000US36005045101,Census Tract 451.01; Bronx County; New York,Bronx,838,175,56,20.9,6.7
1400000US36005030100,Census Tract 301; Bronx County; New York,Bronx,426,129,32,30.3,7.5
1400000US36005029500,Census Tract 295; Bronx County; New York,Bronx,724,305,57,42.1,7.9
1400000US36005033500,Census Tract 335; Bronx County; New York,Bronx,420,114,35,27.1,8.3
1400000US36005046203,Census Tract 462.03; Bronx County; New York,Bronx,1632,633,142,38.8,8.7
1400000US36005031000,Census Tract 310; Bronx County; New York,Bronx,359,76,36,21.2,10.0
1400000US36005035100,Census Tract 351; Bronx County; New York,Bronx,684,204,70,29.8,10.2
1400000US36005030701,Census Tract 307.01; Bronx County; New York,Bronx,985,333,101,33.8,10.3
1400000US36005032300,Census Tract 323; Bronx County; New York,Bronx,805,298,85,37.0,10.6
1400000US36005004001,Census Tract 40.01; Bronx County; New York,Bronx,192,86,21,44.8,10.9
1400000US36005031800,Census Tract 318; Bronx County; New York,Bronx,177,78,24,44.1,13.6
1400000US36005016200,Census Tract 162; Bronx County; New York,Bronx,217,111,30,51.2,13.8
1400000US36005046206,Census Tract 462.06; Bronx County; New York,Bronx,1242,712,174,57.3,14.0
1400000US36005016700,Census Tract 167; Bronx County; New York,Bronx,1113,658,162,59.1,14.6
1400000US36005028700,Census Tract 287; Bronx County; New York,Bronx,760,442,112,58.2,14.7
1400000US36005044800,Census Tract 448; Bronx County; New York,Bronx,222,109,33,49.1,14.9
1400000US36005020601,Census Tract 206.01; Bronx County; New York,Bronx,655,342,103,52.2,15.7
1400000US36005029301,Census Tract 293.01; Bronx County; New York,Bronx,133,45,21,33.8,15.8
1400000US36005037000,Census Tract 370; Bronx County; New York,Bronx,346,92,55,26.6,15.9
1400000US36005032400,Census Tract 324; Bronx County; New York,Bronx,1184,594,190,50.2,16.0
1400000US36005000400,Census Tract 4; Bronx County; New York,Bronx,882,446,144,50.6,16.3
1400000US36005046204,Census Tract 462.04; Bronx County; New York,Bronx,1422,564,238,39.7,16.7
1400000US36005033602,Census Tract 336.02; Bronx County; New York,Bronx,312,132,53,42.3,17.0
1400000US36005034500,Census Tract 345; Bronx County; New York,Bronx,761,343,129,45.1,17.0
1400000US36005029302,Census Tract 293.02; Bronx County; New York,Bronx,883,344,151,39.0,17.1
1400000US36005019300,Census Tract 193; Bronx County; New York,Bronx,2461,1048,423,42.6,17.2
1400000US36005034800,Census Tract 348; Bronx County; New York,Bronx,1248,368,217,29.5,17.4
1400000US36005014702,Census Tract 147.02; Bronx County; New York,Bronx,1894,564,329,29.8,17.4
1400000US36005002800,Census Tract 28; Bronx County; New York,Bronx,2329,903,411,38.8,17.6
1400000US36005042600,Census Tract 426; Bronx County; New York,Bronx,723,317,128,43.8,17.7
1400000US36005030201,Census Tract 302.01; Bronx County; New York,Bronx,927,287,164,31.0,17.7
1400000US36005000200,Census Tract 2; Bronx County; New York,Bronx,566,134,101,23.7,17.8
1400000US36005012500,Census Tract 125; Bronx County; New York,Bronx,1154,538,205,46.6,17.8
1400000US36005030202,Census Tract 302.02; Bronx County; New York,Bronx,1678,968,310,57.7,18.5
1400000US36005025600,Census Tract 256; Bronx County; New York,Bronx,451,258,84,57.2,18.6
1400000US36005035800,Census Tract 358; Bronx County; New York,Bronx,723,278,138,38.5,19.1
1400000US36005029600,Census Tract 296; Bronx County; New York,Bronx,975,423,186,43.4,19.1
1400000US36005034200,Census Tract 342; Bronx County; New York,Bronx,380,287,73,75.5,19.2
1400000US36005008400,Census Tract 84; Bronx County; New York,Bronx,314,153,61,48.7,19.4
1400000US36005046208,Census Tract 462.08; Bronx County; New York,Bronx,666,421,130,63.2,19.5
1400000US36005002001,Census Tract 20.01; Bronx County; New York,Bronx,1729,886,338,51.2,19.5
1400000US36005025200,Census Tract 252; Bronx County; New York,Bronx,656,369,129,56.3,19.7
1400000US36005044902,Census Tract 449.02; Bronx County; New York,Bronx,673,278,133,41.3,19.8
1400000US36005042200,Census Tract 422; Bronx County; New York,Bronx,667,334,132,50.1,19.8
1400000US36005002002,Census Tract 20.02; Bronx County; New York,Bronx,1406,798,278,56.8,19.8
1400000US36005023302,Census Tract 233.02; Bronx County; New York,Bronx,1013,344,202,34.0,19.9
1400000US36005006100,Census Tract 61; Bronx County; New York,Bronx,1053,356,216,33.8,20.5
1400000US36005028100,Census Tract 281; Bronx County; New York,Bronx,918,428,191,46.6,20.8
1400000US36005034300,Census Tract 343; Bronx County; New York,Bronx,311,171,65,55.0,20.9
1400000US36005040900,Census Tract 409; Bronx County; New York,Bronx,935,421,197,45.0,21.1
1400000US36005046207,Census Tract 462.07; Bronx County; New York,Bronx,1469,563,313,38.3,21.3
1400000US36005017701,Census Tract 177.01; Bronx County; New York,Bronx,1428,662,306,46.4,21.4
1400000US36005005100,Census Tract 51; Bronx County; New York,Bronx,2740,1633,605,59.6,22.1
1400000US36005011900,Census Tract 119; Bronx County; New York,Bronx,1783,932,397,52.3,22.3
1400000US36005004200,Census Tract 42; Bronx County; New York,Bronx,2487,1157,559,46.5,22.5
1400000US36005022800,Census Tract 228; Bronx County; New York,Bronx,2071,873,469,42.2,22.6
1400000US36005045800,Census Tract 458; Bronx County; New York,Bronx,2071,982,471,47.4,22.7
1400000US36005033700,Census Tract 337; Bronx County; New York,Bronx,291,183,66,62.9,22.7
1400000US36005022300,Census Tract 223; Bronx County; New York,Bronx,2103,1303,477,62.0,22.7
1400000US36005019400,Census Tract 194; Bronx County; New York,Bronx,338,152,77,45.0,22.8
1400000US36005026100,Census Tract 261; Bronx County; New York,Bronx,131,77,30,58.8,22.9
1400000US36005003500,Census Tract 35; Bronx County; New York,Bronx,1390,709,323,51.0,23.2
1400000US36005014400,Census Tract 144; Bronx County; New York,Bronx,2045,978,475,47.8,23.2
1400000US36005009301,Census Tract 93.01; Bronx County; New York,Bronx,1630,726,378,44.5,23.2
1400000US36005015500,Census Tract 155; Bronx County; New York,Bronx,1014,504,236,49.7,23.3
1400000US36005004400,Census Tract 44; Bronx County; New York,Bronx,1479,759,347,51.3,23.5
1400000US36005007200,Census Tract 72; Bronx County; New York,Bronx,1087,546,257,50.2,23.6
1400000US36005008600,Census Tract 86; Bronx County; New York,Bronx,1398,781,331,55.9,23.7
1400000US36005032800,Census Tract 328; Bronx County; New York,Bronx,1233,627,294,50.9,23.8
1400000US36005041400,Census Tract 414; Bronx County; New York,Bronx,751,442,179,58.9,23.8
1400000US36005046205,Census Tract 462.05; Bronx County; New York,Bronx,1113,487,266,43.8,23.9
1400000US36005016500,Census Tract 165; Bronx County; New York,Bronx,376,140,90,37.2,23.9
1400000US36005036100,Census Tract 361; Bronx County; New York,Bronx,1900,903,456,47.5,24.0
1400000US36005039200,Census Tract 392; Bronx County; New York,Bronx,443,206,107,46.5,24.2
1400000US36005037400,Census Tract 374; Bronx County; New York,Bronx,1280,599,311,46.8,24.3
1400000US36005022101,Census Tract 221.01; Bronx County; New York,Bronx,1339,653,325,48.8,24.3
1400000US36005037300,Census Tract 373; Bronx County; New York,Bronx,2215,1213,541,54.8,24.4
1400000US36005022500,Census Tract 225; Bronx County; New York,Bronx,2126,869,519,40.9,24.4
1400000US36005037600,Census Tract 376; Bronx County; New York,Bronx,504,268,123,53.2,24.4
1400000US36005009000,Census Tract 90; Bronx County; New York,Bronx,1082,661,264,61.1,24.4
1400000US36005034000,Census Tract 340; Bronx County; New York,Bronx,1367,711,338,52.0,24.7
1400000US36005046209,Census Tract 462.09; Bronx County; New York,Bronx,1207,774,300,64.1,24.9
1400000US36005044901,Census Tract 449.01; Bronx County; New York,Bronx,476,150,120,31.5,25.2
1400000US36005024700,Census Tract 247; Bronx County; New York,Bronx,724,373,183,51.5,25.3
1400000US36005014701,Census Tract 147.01; Bronx County; New York,Bronx,1989,980,507,49.3,25.5
1400000US36005002300,Census Tract 23; Bronx County; New York,Bronx,1904,957,487,50.3,25.6
1400000US36005037200,Census Tract 372; Bronx County; New York,Bronx,552,280,142,50.7,25.7
1400000US36005026500,Census Tract 265; Bronx County; New York,Bronx,2096,1178,540,56.2,25.8
1400000US36005041800,Census Tract 418; Bronx County; New York,Bronx,1095,594,283,54.2,25.8
1400000US36005023502,Census Tract 235.02; Bronx County; New York,Bronx,1627,726,420,44.6,25.8
1400000US36005039600,Census Tract 396; Bronx County; New York,Bronx,1103,622,286,56.4,25.9
1400000US36005026602,Census Tract 266.02; Bronx County; New York,Bronx,2072,1057,539,51.0,26.0
1400000US36005039100,Census Tract 391; Bronx County; New York,Bronx,2878,1731,754,60.1,26.2
1400000US36005028500,Census Tract 285; Bronx County; New York,Bronx,1351,630,354,46.6,26.2
